Method,Surprise,Fear,Disgust,Happiness,Sadness,Anger,Neutral,Overall
SimCLR_FFHQ,0.9166666666666666,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.5,0.8333333333333334,0.16666666666666666,0.47619047619047616
Swav-ImageNet-rafonly-balanced,0.9166666666666666,0.08333333333333333,0.25,0.4166666666666667,0.6666666666666666,0.5,0.4166666666666667,0.4642857142857143
Swav-ImageNet,0.6666666666666666,0.4166666666666667,0.25,0.5,0.5,0.5,0.08333333333333333,0.4166666666666667
SimSiam_FFHQ,0.75,0.5833333333333334,0.16666666666666666,0.5,0.16666666666666666,0.5833333333333334,0.08333333333333333,0.40476190476190477
Swav-ImageNet-rafonly,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.40476190476190477
fromscratch,0.25,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.21428571428571427
fromscratch-rafonly,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285
Supervised-ImageNet, 0.5833333333333334, 0.4166666666666667, 0.0, 0.6666666666666666, 0.5, 0.75, 0.0, 0.4166666666666667
